Customer_ID,Age,Gender,City,Device_Type,Session_Duration,Pages_Viewed,Product_Category,Price,Discount,Purchase_History,Time_Spent_on_Product,Payment_Method,Cart_Value,Purchased
C00185,46,Female,Chennai,Laptop,11,7,Fashion,2280,30,6,13,Credit Card,1596,Yes
C00186,26,Female,Hyderabad,Tablet,8,7,Fashion,2910,5,5,16,UPI,2764,No
C00187,27,Male,Bangalore,Laptop,35,8,Beauty,1008,10,6,20,Debit Card,907,Yes
C00188,38,Male,Kolkata,Mobile,20,10,Beauty,1521,15,8,2,UPI,1292,Yes
C00189,43,Female,Mumbai,Mobile,23,7,Electronics,9656,15,8,17,Credit Card,8207,Yes
C00190,52,Male,Kolkata,Mobile,18,4,Home,4496,20,6,3,Credit Card,3596,No
C00191,21,Male,Delhi,Tablet,14,3,Beauty,1532,20,9,10,Debit Card,1225,No
C00192,25,Male,Bangalore,Laptop,16,14,Home,4495,10,4,18,Credit Card,4045,Yes
C00193,50,Male,Bangalore,Mobile,9,13,Home,5380,25,8,6,Debit Card,4035,No
C00194,50,Male,Delhi,Tablet,15,4,Beauty,1762,30,5,20,Credit Card,1233,No
C00195,50,Female,Pune,Tablet,14,9,Electronics,20070,15,2,15,Debit Card,17059,Yes
C00196,37,Male,Hyderabad,Laptop,13,12,Fashion,3954,5,10,17,UPI,3756,No
C00197,51,Female,Mumbai,Tablet,12,2,Electronics,14251,5,8,12,Credit Card,13538,No
C00198,27,Female,Pune,Mobile,18,10,Beauty,1989,5,3,18,UPI,1889,No
C00199,53,Female,Pune,Laptop,21,8,Home,2918,20,9,12,Debit Card,2334,Yes
C00200,40,Female,Hyderabad,Laptop,11,5,Home,3945,10,5,11,Debit Card,3550,No
C00201,31,Female,Delhi,Laptop,16,10,Home,3857,5,10,19,Credit Card,3664,No
C00202,43,Female,Kolkata,Mobile,14,2,Home,2147,15,8,10,Debit Card,1824,No
C00203,48,Male,Mumbai,Tablet,13,10,Home,2624,5,10,20,UPI,2492,No
C00204,33,Male,Pune,Tablet,12,12,Fashion,1215,5,7,12,Debit Card,1154,No
C00205,48,Male,Pune,Mobile,5,10,Fashion,2666,30,8,17,Debit Card,1866,No
C00206,30,Female,Delhi,Laptop,25,2,Electronics,29374,25,4,19,Debit Card,22030,No
C00207,20,Male,Chennai,Mobile,34,2,Beauty,1514,10,5,3,UPI,1362,No
C00208,37,Male,Delhi,Laptop,19,12,Beauty,774,25,8,10,UPI,580,Yes
C00209,25,Female,Mumbai,Tablet,19,12,Home,3025,5,6,11,Debit Card,2873,No
C00210,30,Male,Hyderabad,Tablet,33,8,Beauty,1555,15,2,14,Debit Card,1321,Yes
C00211,24,Male,Mumbai,Laptop,15,5,Electronics,16545,20,4,16,Credit Card,13236,No
C00212,39,Female,Hyderabad,Tablet,23,2,Home,4445,30,4,3,Debit Card,3111,No
C00213,25,Female,Delhi,Mobile,17,12,Home,2461,30,5,13,Debit Card,1722,Yes
C00214,32,Male,Mumbai,Laptop,9,9,Home,4906,30,9,17,Debit Card,3434,No
C00215,31,Male,Pune,Tablet,32,14,Electronics,25219,20,9,13,UPI,20175,Yes
C00216,54,Male,Bangalore,Tablet,33,10,Fashion,3345,25,3,7,Credit Card,2508,Yes
C00217,51,Female,Bangalore,Tablet,11,13,Beauty,686,25,8,3,Credit Card,514,Yes
C00218,26,Female,Chennai,Tablet,6,10,Beauty,1877,15,1,14,Credit Card,1595,No
C00219,18,Male,Hyderabad,Mobile,6,8,Home,2022,25,1,4,Credit Card,1516,No
C00220,20,Female,Chennai,Mobile,29,4,Beauty,1266,20,8,14,Credit Card,1012,No
C00221,23,Male,Pune,Laptop,8,4,Beauty,1583,10,4,2,UPI,1424,No
C00222,37,Female,Pune,Tablet,22,8,Beauty,970,10,8,13,UPI,873,Yes
C00223,35,Male,Pune,Mobile,6,14,Beauty,1759,5,4,8,UPI,1671,No
C00224,24,Male,Chennai,Tablet,26,13,Electronics,16019,30,1,14,Credit Card,11213,Yes
C00225,32,Male,Kolkata,Mobile,9,10,Home,3418,30,10,12,Debit Card,2392,No
C00226,38,Male,Delhi,Mobile,26,10,Fashion,2693,15,5,3,Debit Card,2289,Yes
C00227,55,Male,Pune,Tablet,18,10,Beauty,596,15,7,18,Credit Card,506,Yes
C00228,44,Female,Mumbai,Laptop,17,4,Beauty,993,10,5,6,Credit Card,893,No
C00229,21,Female,Chennai,Tablet,21,4,Beauty,997,15,4,12,Debit Card,847,No
C00230,23,Female,Kolkata,Laptop,7,10,Fashion,1211,15,7,3,UPI,1029,No
C00231,30,Male,Chennai,Mobile,32,7,Home,1625,10,4,5,Debit Card,1462,Yes
C00232,48,Male,Pune,Tablet,27,5,Beauty,990,25,6,11,Credit Card,742,No
C00233,47,Female,Delhi,Laptop,16,10,Beauty,1454,5,8,12,UPI,1381,No
C00234,41,Female,Chennai,Mobile,23,15,Fashion,4036,10,1,10,Debit Card,3632,Yes
C00235,55,Female,Delhi,Mobile,11,7,Fashion,2555,25,4,17,Debit Card,1916,Yes
C00236,39,Female,Kolkata,Laptop,35,13,Beauty,1443,10,6,7,UPI,1298,Yes
C00237,52,Female,Mumbai,Tablet,25,2,Electronics,10435,30,1,2,Credit Card,7304,No
C00238,26,Male,Bangalore,Tablet,9,2,Fashion,3071,20,6,3,Debit Card,2456,No
C00239,48,Female,Bangalore,Mobile,22,10,Beauty,524,5,9,10,Debit Card,497,No
C00240,36,Male,Hyderabad,Tablet,26,8,Fashion,1438,5,9,6,UPI,1366,No
C00241,30,Female,Kolkata,Laptop,13,14,Beauty,661,15,7,16,Debit Card,561,Yes
C00242,33,Male,Delhi,Tablet,31,15,Electronics,29421,30,1,4,Credit Card,20594,Yes
C00243,42,Female,Hyderabad,Laptop,6,12,Electronics,13615,5,8,15,Debit Card,12934,No
C00244,39,Male,Hyderabad,Mobile,12,5,Beauty,1055,5,2,10,Debit Card,1002,No
C00245,54,Male,Mumbai,Laptop,5,5,Fashion,4081,30,7,4,Credit Card,2856,No
C00246,28,Male,Hyderabad,Laptop,26,10,Home,4644,30,3,4,Debit Card,3250,Yes
C00247,40,Male,Bangalore,Laptop,12,15,Electronics,19160,25,10,14,Credit Card,14370,Yes
C00248,19,Female,Kolkata,Laptop,20,5,Home,4575,20,3,20,Debit Card,3660,No
C00249,42,Male,Kolkata,Tablet,14,14,Fashion,3920,5,2,10,UPI,3724,No
C00250,42,Male,Pune,Laptop,15,7,Electronics,10998,5,5,16,Credit Card,10448,No
C00251,35,Male,Mumbai,Mobile,10,8,Beauty,1640,25,9,15,UPI,1230,No
C00252,19,Male,Delhi,Tablet,7,11,Home,4655,5,5,15,Credit Card,4422,No
C00253,23,Male,Hyderabad,Tablet,10,12,Beauty,847,10,5,11,Credit Card,762,No
C00254,49,Male,Bangalore,Mobile,18,6,Beauty,1113,20,2,13,Credit Card,890,Yes
C00255,33,Female,Hyderabad,Tablet,11,9,Electronics,12439,15,1,14,Credit Card,10573,Yes
C00256,42,Female,Chennai,Laptop,18,15,Fashion,2230,15,10,8,Credit Card,1895,Yes
C00257,38,Male,Chennai,Laptop,14,13,Beauty,1679,10,6,14,Credit Card,1511,Yes
C00258,43,Female,Bangalore,Tablet,11,11,Fashion,3792,25,1,16,Debit Card,2844,Yes
C00259,31,Female,Kolkata,Laptop,31,13,Electronics,21406,30,8,6,Debit Card,14984,Yes
C00260,37,Male,Delhi,Tablet,9,13,Beauty,1272,5,8,17,Debit Card,1208,No
C00261,43,Female,Hyderabad,Mobile,30,7,Electronics,11583,10,6,7,Debit Card,10424,Yes
C00262,20,Female,Kolkata,Laptop,35,14,Beauty,716,5,2,10,UPI,680,No
C00263,50,Male,Chennai,Laptop,17,9,Fashion,2412,5,8,5,Credit Card,2291,No
C00264,44,Male,Bangalore,Tablet,9,7,Home,4310,20,4,18,Credit Card,3448,No
C00265,40,Female,Bangalore,Laptop,28,13,Beauty,1153,5,5,3,Debit Card,1095,No
C00266,25,Male,Kolkata,Laptop,25,3,Fashion,4808,30,4,18,UPI,3365,No
C00267,53,Male,Delhi,Tablet,18,9,Fashion,4267,20,3,7,Debit Card,3413,Yes
C00268,45,Female,Bangalore,Tablet,24,5,Beauty,1712,20,7,2,Debit Card,1369,No
C00269,31,Male,Delhi,Tablet,30,14,Electronics,26918,5,9,7,Credit Card,25572,No
C00270,38,Male,Chennai,Mobile,13,12,Beauty,1580,30,6,14,Debit Card,1106,Yes
C00271,43,Male,Delhi,Laptop,32,9,Fashion,4333,30,5,20,UPI,3033,Yes
C00272,26,Female,Bangalore,Mobile,14,3,Fashion,2529,30,3,18,Credit Card,1770,No
C00273,44,Male,Hyderabad,Laptop,18,4,Beauty,1801,25,3,19,UPI,1350,No
C00274,49,Female,Mumbai,Mobile,15,15,Beauty,1768,5,6,2,Credit Card,1679,No
C00275,26,Male,Kolkata,Laptop,35,10,Beauty,1337,30,8,15,Debit Card,935,Yes
C00276,46,Female,Mumbai,Mobile,23,2,Fashion,2196,5,5,9,Debit Card,2086,No
C00277,36,Male,Kolkata,Laptop,23,13,Beauty,1625,25,2,20,UPI,1218,Yes
C00278,35,Female,Hyderabad,Mobile,29,13,Beauty,1618,10,7,5,Debit Card,1456,Yes
C00279,33,Female,Kolkata,Mobile,19,6,Home,2212,20,2,9,UPI,1769,Yes
C00280,55,Female,Kolkata,Tablet,24,12,Beauty,839,25,3,8,UPI,629,Yes
C00281,21,Female,Hyderabad,Laptop,24,10,Fashion,2325,30,5,11,Debit Card,1627,Yes
C00282,35,Male,Mumbai,Laptop,34,2,Home,2539,30,3,9,UPI,1777,No
C00283,38,Male,Kolkata,Tablet,17,9,Fashion,3365,30,5,15,Credit Card,2355,Yes
C00284,46,Male,Pune,Mobile,17,10,Home,4523,20,8,12,Debit Card,3618,Yes
C00285,18,Male,Pune,Laptop,25,12,Home,2018,25,7,8,Credit Card,1513,Yes
C00286,31,Female,Delhi,Laptop,31,6,Home,5983,25,3,20,Credit Card,4487,Yes
